id,price,accommodates,bedrooms,number_of_reviews,room_type
11608974,922.0,2,1.0,46,Entire home/apt
46664679,241.0,1,1.0,10,Private room
1481181788995210531,2254.0,4,2.0,1,Entire home/apt
4032302,693.0,2,1.0,157,Entire home/apt
165772,3673.0,16,5.0,386,Entire home/apt
815433875006467391,405.0,1,1.0,6,Private room
50879160,1117.0,4,2.0,48,Entire home/apt
1015494365041263284,472.0,1,0.0,20,Private room
49910381,1053.0,4,1.0,86,Entire home/apt
1476424401046401016,3530.0,4,2.0,2,Entire home/apt
24993411,882.0,2,1.0,440,Entire home/apt
1010157992411605011,1542.0,5,2.0,20,Entire home/apt
43971763,997.0,4,1.0,1,Entire home/apt
51310907,580.0,4,1.0,20,Entire home/apt
894490792344004754,561.0,2,1.0,34,Private room
1373565422505532384,1305.0,2,1.0,0,Entire home/apt
51624345,3500.0,12,3.0,105,Entire home/apt
666830865837493685,1605.0,4,2.0,58,Entire home/apt
1419789492687703161,1370.0,2,1.0,14,Entire home/apt
1490024283567181994,834.0,4,2.0,10,Entire home/apt
53282864,2052.0,4,2.0,97,Entire home/apt
811172653419059794,869.0,2,1.0,207,Entire home/apt
1252368377628479516,1500.0,2,1.0,3,Entire home/apt
828714,707.0,4,2.0,28,Entire home/apt
1089827635112021876,1808.0,3,1.0,52,Entire home/apt
33526471,315.0,1,1.0,54,Private room
858359235657543466,420.0,2,1.0,1,Entire home/apt
1492899227764485253,2334.0,5,3.0,3,Entire home/apt
36767696,1199.0,4,2.0,202,Entire home/apt
45056812,579.0,2,1.0,117,Entire home/apt
13243273,827.0,1,1.0,0,Private room
7893377,2967.0,14,4.0,8,Entire home/apt
946630182378688229,3077.0,8,3.0,72,Entire home/apt
1460978333441171355,2433.0,6,3.0,12,Entire home/apt
1438761444474188625,875.0,2,1.0,15,Private room
8172868,3200.0,2,1.0,38,Private room
1374108494142409620,950.0,2,1.0,3,Private room
6705120,320.0,1,1.0,26,Private room
650637251463093731,900.0,2,1.0,48,Private room
46619707,427.0,1,1.0,2,Private room
732719948767516084,515.0,2,1.0,61,Private room
1330570780168125802,540.0,2,1.0,4,Private room
1167389832151505093,1488.0,2,1.0,13,Private room
848232342019421843,605.0,2,1.0,0,Private room
1450010761001251260,1285.0,2,1.0,11,Entire home/apt
1015419830531426849,2208.0,2,2.0,11,Entire home/apt
1490733545635068544,1066.0,3,1.0,4,Entire home/apt
1477043579259947228,576.0,2,1.0,5,Entire home/apt
